naics,naics_title,short_title,short_label,full_label,match_level,avg_baseline_productivity,avg_scenario_productivity,avg_baseline_revenue,avg_scenario_revenue,prod_change,prod_pct_change,revenue_change,revenue_pct_change
311710,Seafood Product Preparation and Packaging,Seafood Prod Prep & Pkg,311710 | Seafood Prod Prep & Pkg,311710 - Seafood Product Preparation and Packaging,exact,187.44376,187.44376,453.66577,453.66577,0.0,0.0,0.0,0.0
311811,Retail Bakeries,Retail Bakeries,311811 | Retail Bakeries,311811 - Retail Bakeries,exact,66.554985,66.554985,79.93518,79.93518,0.0,0.0,0.0,0.0
311812,Commercial Bakeries,Commercial Bakeries,311812 | Commercial Bakeries,311812 - Commercial Bakeries,exact,208.97992,208.97992,344.83356,344.83356,0.0,0.0,0.0,0.0
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing","Frozen Cakes, Pies, & Other Pastries Mfg","311813 | Frozen Cakes, Pies, & Other Pastries Mfg","311813 - Frozen Cakes, Pies, and Other Pastries Manufacturing",exact,133.53725,133.53725,274.98187,274.98187,0.0,0.0,0.0,0.0
311821,Cookie and Cracker Manufacturing,Cookie & Cracker Mfg,311821 | Cookie & Cracker Mfg,311821 - Cookie and Cracker Manufacturing,exact,186.57503,186.57503,332.40976,332.40976,0.0,0.0,0.0,0.0
311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour","Dry Pasta, Dough, & Flour Mixes Mfg f...","311824 | Dry Pasta, Dough, & Flour Mixes Mfg f...","311824 - Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",exact,191.26135,191.26135,555.4954,555.4954,0.0,0.0,0.0,0.0
311830,Tortilla Manufacturing,Tortilla Mfg,311830 | Tortilla Mfg,311830 - Tortilla Manufacturing,exact,140.24081,140.24081,241.43109,241.43109,0.0,0.0,0.0,0.0
311911,Roasted Nuts and Peanut Butter Manufacturing,Roasted Nuts & Peanut Butter Mfg,311911 | Roasted Nuts & Peanut Butter Mfg,311911 - Roasted Nuts and Peanut Butter Manufacturing,exact,189.99399,189.99399,700.3646,700.3646,0.0,0.0,0.0,0.0
311919,Other Snack Food Manufacturing,Other Snack Food Mfg,311919 | Other Snack Food Mfg,311919 - Other Snack Food Manufacturing,exact,349.27594,349.27594,531.94104,531.94104,0.0,0.0,0.0,0.0
311920,Coffee and Tea Manufacturing,Coffee & Tea Mfg,311920 | Coffee & Tea Mfg,311920 - Coffee and Tea Manufacturing,exact,311.2055,311.2055,863.5111,863.5111,0.0,0.0,0.0,0.0
311930,Flavoring Syrup and Concentrate Manufacturing,Flavoring Syrup & Concentrate Mfg,311930 | Flavoring Syrup & Concentrate Mfg,311930 - Flavoring Syrup and Concentrate Manufacturing,exact,971.47363,971.47363,1277.054,1277.054,0.0,0.0,0.0,0.0
311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing","Mayonnaise, Dressing, & Other Prepare...","311941 | Mayonnaise, Dressing, & Other Prepare...","311941 - Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",exact,247.04163,247.04163,540.4984,540.4984,0.0,0.0,0.0,0.0
311942,Spice and Extract Manufacturing,Spice & Extract Mfg,311942 | Spice & Extract Mfg,311942 - Spice and Extract Manufacturing,exact,238.52458,238.52458,538.43066,538.43066,0.0,0.0,0.0,0.0
311991,Perishable Prepared Food Manufacturing,Perishable Prepared Food Mfg,311991 | Perishable Prepared Food Mfg,311991 - Perishable Prepared Food Manufacturing,exact,129.44449,129.44449,289.98486,289.98486,0.0,0.0,0.0,0.0
311999,All Other Miscellaneous Food Manufacturing,All Other Misc Food Mfg,311999 | All Other Misc Food Mfg,311999 - All Other Miscellaneous Food Manufacturing,exact,193.10266,193.10266,541.61145,541.61145,0.0,0.0,0.0,0.0
312111,Soft Drink Manufacturing,Soft Drink Mfg,312111 | Soft Drink Mfg,312111 - Soft Drink Manufacturing,exact,307.21445,307.21445,859.5392,859.5392,0.0,0.0,0.0,0.0
312112,Bottled Water Manufacturing,Bottled Water Mfg,312112 | Bottled Water Mfg,312112 - Bottled Water Manufacturing,exact,369.1198,369.1198,626.2012,626.2012,0.0,0.0,0.0,0.0
312113,Ice Manufacturing,Ice Mfg,312113 | Ice Mfg,312113 - Ice Manufacturing,exact,169.57187,169.57187,298.49652,298.49652,0.0,0.0,0.0,0.0
312120,Breweries,Breweries,312120 | Breweries,312120 - Breweries,exact,460.0548,460.0548,717.0309,717.0309,0.0,0.0,0.0,0.0
312130,Wineries,Wineries,312130 | Wineries,312130 - Wineries,exact,340.75018,340.75018,508.81683,508.81683,0.0,0.0,0.0,0.0
312140,Distilleries,Distilleries,312140 | Distilleries,312140 - Distilleries,exact,869.06995,869.06995,1245.0284,1245.0284,0.0,0.0,0.0,0.0
312230,Tobacco Manufacturing,Tobacco Mfg,312230 | Tobacco Mfg,312230 - Tobacco Manufacturing,exact,2545.9795,2545.9795,3094.8972,3094.8972,0.0,0.0,0.0,0.0
