year,gdp_per_capita,inflation,real_gdp
2024,98320.42976249999,2.264997825768729,25136.627415416584
2025,99176.1638375,2.2558988257687287,25293.304969583252
2026,100053.46691250002,2.239406605530634,25379.525925833237
2027,100873.9189375001,2.237616605530634,25526.20897166657
