naics,naics_title,short_title,short_label,full_label,match_level,avg_baseline_productivity,avg_scenario_productivity,avg_baseline_revenue,avg_scenario_revenue,prod_change,prod_pct_change,revenue_change,revenue_pct_change
311615,Poultry Processing,Poultry Proc,311615 | Poultry Proc,311615 - Poultry Processing,exact,112.033585,112.033585,278.935,278.935,0.0,0.0,0.0,0.0
311710,Seafood Product Preparation and Packaging,Seafood Prod Prep & Pkg,311710 | Seafood Prod Prep & Pkg,311710 - Seafood Product Preparation and Packaging,exact,188.47137,188.47137,456.91745,456.91745,0.0,0.0,0.0,0.0
311811,Retail Bakeries,Retail Bakeries,311811 | Retail Bakeries,311811 - Retail Bakeries,exact,77.72781,77.72781,102.75826,102.75826,0.0,0.0,0.0,0.0
311812,Commercial Bakeries,Commercial Bakeries,311812 | Commercial Bakeries,311812 - Commercial Bakeries,exact,208.46214,208.46214,358.54034,358.54034,0.0,0.0,0.0,0.0
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing","Frozen Cakes, Pies, & Other Pastries Mfg","311813 | Frozen Cakes, Pies, & Other Pastries Mfg","311813 - Frozen Cakes, Pies, and Other Pastries Manufacturing",exact,135.85904,135.85904,273.6959,273.6959,0.0,0.0,0.0,0.0
311821,Cookie and Cracker Manufacturing,Cookie & Cracker Mfg,311821 | Cookie & Cracker Mfg,311821 - Cookie and Cracker Manufacturing,exact,181.29759,181.29759,334.76193,334.76193,0.0,0.0,0.0,0.0
311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour","Dry Pasta, Dough, & Flour Mixes Mfg f...","311824 | Dry Pasta, Dough, & Flour Mixes Mfg f...","311824 - Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",exact,193.5336,193.5336,559.7235,559.7235,0.0,0.0,0.0,0.0
311830,Tortilla Manufacturing,Tortilla Mfg,311830 | Tortilla Mfg,311830 - Tortilla Manufacturing,exact,135.16028,135.16028,240.5722,240.5722,0.0,0.0,0.0,0.0
311911,Roasted Nuts and Peanut Butter Manufacturing,Roasted Nuts & Peanut Butter Mfg,311911 | Roasted Nuts & Peanut Butter Mfg,311911 - Roasted Nuts and Peanut Butter Manufacturing,exact,193.26149,193.26149,680.6626,680.6626,0.0,0.0,0.0,0.0
311919,Other Snack Food Manufacturing,Other Snack Food Mfg,311919 | Other Snack Food Mfg,311919 - Other Snack Food Manufacturing,exact,311.9975,311.9975,511.09592,511.09592,0.0,0.0,0.0,0.0
311920,Coffee and Tea Manufacturing,Coffee & Tea Mfg,311920 | Coffee & Tea Mfg,311920 - Coffee and Tea Manufacturing,exact,295.45618,295.45618,838.3624,838.3624,0.0,0.0,0.0,0.0
311930,Flavoring Syrup and Concentrate Manufacturing,Flavoring Syrup & Concentrate Mfg,311930 | Flavoring Syrup & Concentrate Mfg,311930 - Flavoring Syrup and Concentrate Manufacturing,exact,922.8679,922.8679,1136.7698,1136.7698,0.0,0.0,0.0,0.0
311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing","Mayonnaise, Dressing, & Other Prepare...","311941 | Mayonnaise, Dressing, & Other Prepare...","311941 - Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",exact,247.18335,247.18335,521.46265,521.46265,0.0,0.0,0.0,0.0
311942,Spice and Extract Manufacturing,Spice & Extract Mfg,311942 | Spice & Extract Mfg,311942 - Spice and Extract Manufacturing,exact,224.52097,224.52097,512.135,512.135,0.0,0.0,0.0,0.0
311991,Perishable Prepared Food Manufacturing,Perishable Prepared Food Mfg,311991 | Perishable Prepared Food Mfg,311991 - Perishable Prepared Food Manufacturing,exact,129.405,129.405,293.1937,293.1937,0.0,0.0,0.0,0.0
311999,All Other Miscellaneous Food Manufacturing,All Other Misc Food Mfg,311999 | All Other Misc Food Mfg,311999 - All Other Miscellaneous Food Manufacturing,exact,197.45645,197.45645,541.2995,541.2995,0.0,0.0,0.0,0.0
312111,Soft Drink Manufacturing,Soft Drink Mfg,312111 | Soft Drink Mfg,312111 - Soft Drink Manufacturing,exact,307.1726,307.1726,850.9525,850.9525,0.0,0.0,0.0,0.0
312112,Bottled Water Manufacturing,Bottled Water Mfg,312112 | Bottled Water Mfg,312112 - Bottled Water Manufacturing,exact,375.53912,375.53912,633.8257,633.8257,0.0,0.0,0.0,0.0
312113,Ice Manufacturing,Ice Mfg,312113 | Ice Mfg,312113 - Ice Manufacturing,exact,163.85587,163.85587,291.8839,292.33514,0.0,0.0,0.4512329,0.15459329
312120,Breweries,Breweries,312120 | Breweries,312120 - Breweries,exact,463.92847,463.92847,734.5137,734.5137,0.0,0.0,0.0,0.0
312130,Wineries,Wineries,312130 | Wineries,312130 - Wineries,exact,340.35532,340.35532,515.4309,515.4309,0.0,0.0,0.0,0.0
312140,Distilleries,Distilleries,312140 | Distilleries,312140 - Distilleries,exact,818.6502,818.6502,1161.0498,1161.0498,0.0,0.0,0.0,0.0
312230,Tobacco Manufacturing,Tobacco Mfg,312230 | Tobacco Mfg,312230 - Tobacco Manufacturing,exact,2496.437,2496.437,2957.9875,2957.9875,0.0,0.0,0.0,0.0
313110,"Fiber, Yarn, and Thread Mills","Fiber, Yarn, & Thread Mills","313110 | Fiber, Yarn, & Thread Mills","313110 - Fiber, Yarn, and Thread Mills",exact,126.51247,126.51247,319.02356,319.02356,0.0,0.0,0.0,0.0
313210,Broadwoven Fabric Mills,Broadwoven Fabric Mills,313210 | Broadwoven Fabric Mills,313210 - Broadwoven Fabric Mills,exact,111.25162,111.25162,239.12988,239.12988,0.0,0.0,0.0,0.0
313220,Narrow Fabric Mills and Schiffli Machine Embroidery,Narrow Fabric Mills & Schiffli Machin...,313220 | Narrow Fabric Mills & Schiffli Machin...,313220 - Narrow Fabric Mills and Schiffli Machine Embroidery,exact,105.695114,105.695114,209.69537,209.69537,0.0,0.0,0.0,0.0
313230,Nonwoven Fabric Mills,Nonwoven Fabric Mills,313230 | Nonwoven Fabric Mills,313230 - Nonwoven Fabric Mills,exact,229.53123,229.53123,497.27,497.27,0.0,0.0,0.0,0.0
313240,Knit Fabric Mills,Knit Fabric Mills,313240 | Knit Fabric Mills,313240 - Knit Fabric Mills,exact,95.464424,95.464424,219.9852,219.9852,0.0,0.0,0.0,0.0
313310,Textile and Fabric Finishing Mills,Text & Fabric Finishing Mills,313310 | Text & Fabric Finishing Mills,313310 - Textile and Fabric Finishing Mills,exact,131.3381,131.3381,274.1311,274.1311,0.0,0.0,0.0,0.0
313320,Fabric Coating Mills,Fabric Coating Mills,313320 | Fabric Coating Mills,313320 - Fabric Coating Mills,exact,172.8663,172.8663,363.90607,363.90607,0.0,0.0,0.0,0.0
