feature,importance
cap_labor_ratio,0.2724231
matcost,0.17769144
emp,0.1613597
invest,0.0923356
prodh,0.08290157
cap,0.056026317
prode,0.0530128
non_prod_workers,0.03740759
plant,0.021208903
equip,0.019967426
prodw,0.014957609
pay,0.0064270683
robots_adopted,0.0023737517
robotics_productivity_gain,0.0019072011
robotics_cost_savings,0.0
