naics,naics_title,short_title,short_label,full_label,match_level,year,cap,plant,equip,invest,cap_labor_ratio,emp,prode,non_prod_workers,pay,prodh,prodw,matcost,robots_adopted,robotics_productivity_gain,robotics_cost_savings,jobs_displaced,training_hours,manuf_export_share,gdp_per_capita,inflation,real_gdp,labor_productivity,revenue_per_worker
311111,Dog and Cat Food Manufacturing,Dog & Cat Food Mfg,311111 | Dog & Cat Food Mfg,311111 - Dog and Cat Food Manufacturing,exact,2015,5649.8,1400.9,4248.9,584.0,342.41212121212124,16.5,12.5,4.0,1008.6,29.7,740.0,12361.5,107,7.86,170.67,293,161,63.7146529670619,57006.93,0.695,18799.6,626.4,1370.0484848484848
311421,Fruit and Vegetable Canning,Fruit & Vegetable Canning,311421 | Fruit & Vegetable Canning,311421 - Fruit and Vegetable Canning,exact,2015,12183.3,3978.8,8204.5,659.9,244.64457831325302,49.8,41.5,8.299999999999997,2352.1,88.6,1723.7,15178.4,107,7.86,170.67,293,161,63.7146529670619,57006.93,0.695,18799.6,211.97991967871488,513.9176706827309
311421,Fruit and Vegetable Canning,Fruit & Vegetable Canning,311421 | Fruit & Vegetable Canning,311421 - Fruit and Vegetable Canning,exact,2016,12122.7,3953.4,8169.3,551.5,244.9030303030303,49.5,41.0,8.5,2408.0,84.0,1767.2,13807.7,253,16.99,195.43,366,472,63.2604946594473,58179.7,2.197,19141.68,219.73333333333332,497.9919191919192
311422,Specialty Canning,Specialty Canning,311422 | Specialty Canning,311422 - Specialty Canning,exact,2015,4568.1,1596.3,2971.8,286.6,411.5405405405406,11.1,9.3,1.799999999999999,591.2,19.5,448.9,3573.8,107,7.86,170.67,293,161,63.7146529670619,57006.93,0.695,18799.6,491.49549549549556,815.1351351351352
311422,Specialty Canning,Specialty Canning,311422 | Specialty Canning,311422 - Specialty Canning,exact,2016,4608.0,1595.7,3012.3,151.8,418.90909090909093,11.0,9.1,1.9000000000000004,597.0,18.8,447.8,3395.1,253,16.99,195.43,366,472,63.2604946594473,58179.7,2.197,19141.68,506.8181818181818,816.4909090909091
311511,Fluid Milk Manufacturing,Fluid Milk Mfg,311511 | Fluid Milk Mfg,311511 - Fluid Milk Manufacturing,exact,2015,12848.3,4844.5,8003.8,950.4,261.6761710794297,49.1,31.1,18.0,2701.8,64.2,1599.4,23602.1,107,7.86,170.67,293,161,63.7146529670619,57006.93,0.695,18799.6,250.84317718940935,730.2749490835031
311511,Fluid Milk Manufacturing,Fluid Milk Mfg,311511 | Fluid Milk Mfg,311511 - Fluid Milk Manufacturing,exact,2016,13070.9,4850.2,8220.6,1171.8,263.52620967741933,49.6,31.9,17.700000000000003,2793.1,64.5,1637.8,22165.1,253,16.99,195.43,366,472,63.2604946594473,58179.7,2.197,19141.68,232.59879032258064,679.3508064516129
311512,Creamery Butter Manufacturing,Creamery Butter Mfg,311512 | Creamery Butter Mfg,311512 - Creamery Butter Manufacturing,exact,2015,778.2,323.1,455.1,48.8,288.22222222222223,2.7,2.0,0.7000000000000002,150.4,4.4,103.6,4383.6,107,7.86,170.67,293,161,63.7146529670619,57006.93,0.695,18799.6,170.59259259259258,1799.5185185185182
311512,Creamery Butter Manufacturing,Creamery Butter Mfg,311512 | Creamery Butter Mfg,311512 - Creamery Butter Manufacturing,exact,2016,782.3,312.5,469.8,43.9,269.7586206896552,2.9,2.1,0.7999999999999998,156.1,4.7,104.6,4563.2,253,16.99,195.43,366,472,63.2604946594473,58179.7,2.197,19141.68,201.0,1777.3103448275863
311513,Cheese Manufacturing,Cheese Mfg,311513 | Cheese Mfg,311513 - Cheese Manufacturing,exact,2015,10305.2,2814.5,7490.8,1075.2,217.86892177589854,47.3,40.5,6.799999999999997,2465.6,87.2,1929.0,36424.4,107,7.86,170.67,293,161,63.7146529670619,57006.93,0.695,18799.6,182.29809725158566,958.0422832980973
311513,Cheese Manufacturing,Cheese Mfg,311513 | Cheese Mfg,311513 - Cheese Manufacturing,exact,2016,10835.5,2930.6,7904.9,1077.0,220.68228105906314,49.1,42.0,7.100000000000001,2650.1,88.1,2057.4,35117.1,253,16.99,195.43,366,472,63.2604946594473,58179.7,2.197,19141.68,208.85947046843177,924.0835030549898
