naics,year,emp,pay,prode,prodh,prodw,vship,matcost,vadd,invest,invent,energy,cap,equip,plant,piship,pimat,piinv,pien,dtfp5,tfp5,dtfp4,tfp4,cap_labor_ratio,non_prod_workers,labor_productivity,revenue_per_worker,naics_title,match_level,short_title,short_label,full_label,Industry,robots_adopted,robotics_productivity_gain,robotics_cost_savings,jobs_displaced,training_hours,manuf_export_share,gdp_per_capita,inflation,real_gdp
311211,2018,12.7,738.3,9.8,20.3,486.0,11910.5,7982.8,3907.8,,976.3,197.9,,,,0.838999987,0.578000009,,1.108999968,,,,,,2.8999999999999986,307.7007874015748,937.8346456692914,Flour Milling,exact,Flour Milling,311211 | Flour Milling,311211 - Flour Milling,Manufacturing,286,15.71,121.3,935,342,58.9112087207058,63165.28,1.921,20193.93
311212,2015,4.7,234.6,3.6,8.4,155.7,3736.9,2420.5,1324.2,83.2,497.1,62.7,1166.6,804.3,362.3,0.980000019,0.614000022,1.019000053,1.559000015,-0.037,0.755999982,-0.037999999,0.748000026,248.21276595744678,1.1,281.74468085106383,795.0851063829787,Rice Milling,exact,Rice Milling,311212 | Rice Milling,311212 - Rice Milling,Manufacturing,107,7.86,170.67,293,161,63.7146529670619,57006.93,0.695,18799.6
311212,2016,5.3,247.3,4.0,8.4,159.7,3539.9,2371.1,1147.1,70.7,472.4,69.1,1187.8,828.0,359.8,0.933000028,0.561999977,1.016000032,1.422000051,-0.059,0.713,-0.057,0.707000017,224.11320754716982,1.2999999999999998,216.43396226415092,667.9056603773586,Rice Milling,exact,Rice Milling,311212 | Rice Milling,311212 - Rice Milling,Manufacturing,253,16.99,195.43,366,472,63.2604946594473,58179.7,2.197,19141.68
311212,2017,5.1,252.1,4.1,8.6,164.0,3556.6,2454.2,1135.2,85.6,482.7,55.8,,,,0.907999992,0.560000002,,1.580000043,,,,,,1.0,222.58823529411768,697.3725490196078,Rice Milling,exact,Rice Milling,311212 | Rice Milling,311212 - Rice Milling,Manufacturing,343,8.69,170.9,812,159,61.3709365092424,60292.98,2.178,19612.1
311212,2018,5.9,282.0,4.3,8.3,168.0,3731.6,2243.4,1482.7,,404.9,59.7,,,,0.992999971,0.578000009,,1.613000035,,,,,,1.6000000000000005,251.3050847457627,632.4745762711864,Rice Milling,exact,Rice Milling,311212 | Rice Milling,311212 - Rice Milling,Manufacturing,286,15.71,121.3,935,342,58.9112087207058,63165.28,1.921,20193.93
311213,2015,1.1,71.0,0.7,1.4,40.5,1526.1,1043.8,518.3,48.9,339.4,40.8,633.6,393.5,240.1,1.050999999,0.614000022,1.011999965,0.837000012,0.014,0.726000011,0.013,0.723999977,576.0,0.40000000000000013,471.18181818181813,1387.3636363636363,Malt Manufacturing,exact,Malt Mfg,311213 | Malt Mfg,311213 - Malt Manufacturing,Manufacturing,107,7.86,170.67,293,161,63.7146529670619,57006.93,0.695,18799.6
311213,2016,0.9,66.2,0.6,1.3,40.8,1516.7,1012.7,530.2,38.3,384.0,39.8,648.9,412.7,236.1,1.032999992,0.561999977,1.004999995,0.86500001,-0.026000001,0.707000017,-0.027000001,0.703999996,721.0,0.30000000000000004,589.1111111111112,1685.2222222222222,Malt Manufacturing,exact,Malt Mfg,311213 | Malt Mfg,311213 - Malt Manufacturing,Manufacturing,253,16.99,195.43,366,472,63.2604946594473,58179.7,2.197,19141.68
311213,2017,1.0,66.0,0.7,1.4,42.1,1283.7,791.3,472.0,30.9,286.7,26.0,,,,0.995000005,0.560000002,,0.950999975,,,,,,0.30000000000000004,472.0,1283.7,Malt Manufacturing,exact,Malt Mfg,311213 | Malt Mfg,311213 - Malt Manufacturing,Manufacturing,343,8.69,170.9,812,159,61.3709365092424,60292.98,2.178,19612.1
311213,2018,1.2,76.2,0.8,1.5,39.4,1241.3,785.4,463.9,,286.9,40.7,,,,0.952000022,0.578000009,,0.967999995,,,,,,0.3999999999999999,386.5833333333333,1034.4166666666667,Malt Manufacturing,exact,Malt Mfg,311213 | Malt Mfg,311213 - Malt Manufacturing,Manufacturing,286,15.71,121.3,935,342,58.9112087207058,63165.28,1.921,20193.93
311221,2015,7.0,495.2,4.2,9.1,303.0,10479.6,6598.6,3908.7,268.1,777.8,615.3,7843.2,5650.0,2193.2,0.759000003,0.619000018,1.011000037,1.01699996,0.048999999,0.978999972,0.045000002,0.97299999,1120.4571428571428,2.8,558.3857142857142,1497.0857142857144,Wet Corn Milling and Starch Manufacturing,exact,Wet Corn Milling & Starch Mfg,311221 | Wet Corn Milling & Starch Mfg,311221 - Wet Corn Milling and Starch Manufacturing,Manufacturing,107,7.86,170.67,293,161,63.7146529670619,57006.93,0.695,18799.6
311221,2016,6.9,496.7,4.0,8.9,295.7,10222.9,6376.3,3825.3,218.5,711.9,596.4,7621.0,5454.3,2166.7,0.750999987,0.568000019,1.008000016,0.992999971,-0.035999998,0.944000006,-0.037999999,0.936999977,1104.4927536231883,2.9000000000000004,554.3913043478261,1481.5797101449275,Wet Corn Milling and Starch Manufacturing,exact,Wet Corn Milling & Starch Mfg,311221 | Wet Corn Milling & Starch Mfg,311221 - Wet Corn Milling and Starch Manufacturing,Manufacturing,253,16.99,195.43,366,472,63.2604946594473,58179.7,2.197,19141.68
311221,2017,6.3,505.9,4.1,9.2,304.6,9783.8,6295.4,3405.5,222.7,607.7,350.9,,,,0.736000001,0.569000006,,1.07099998,,,,,,2.2,540.5555555555555,1552.984126984127,Wet Corn Milling and Starch Manufacturing,exact,Wet Corn Milling & Starch Mfg,311221 | Wet Corn Milling & Starch Mfg,311221 - Wet Corn Milling and Starch Manufacturing,Manufacturing,343,8.69,170.9,812,159,61.3709365092424,60292.98,2.178,19612.1
311221,2018,6.3,517.2,4.1,9.4,300.1,10305.4,6300.7,4012.4,,607.9,544.6,,,,0.739000022,0.588999987,,1.085000038,,,,,,2.2,636.8888888888889,1635.7777777777778,Wet Corn Milling and Starch Manufacturing,exact,Wet Corn Milling & Starch Mfg,311221 | Wet Corn Milling & Starch Mfg,311221 - Wet Corn Milling and Starch Manufacturing,Manufacturing,286,15.71,121.3,935,342,58.9112087207058,63165.28,1.921,20193.93
311224,2015,8.4,500.4,6.1,13.4,314.7,39210.2,31279.0,7912.1,402.3,1683.7,443.7,4681.4,3159.6,1521.8,0.657999992,0.691999972,1.021000028,0.966000021,0.289999992,1.108999968,0.287999988,1.10800004,557.3095238095237,2.3000000000000007,941.9166666666666,4667.880952380951,Soybean and Other Oilseed Processing,exact,Soybean & Other Oilseed Proc,311224 | Soybean & Other Oilseed Proc,311224 - Soybean and Other Oilseed Processing,Manufacturing,107,7.86,170.67,293,161,63.7146529670619,57006.93,0.695,18799.6
