model,target,rmse,mae,r2,train_sec
XGBoost,productivity,125.1715541102699,58.09190542474715,-0.002317473185825758,0.192
LightGBM,productivity,74.04646635739569,49.45305986869498,0.6492459546893181,0.158
XGBoost,revenue_per_worker,109.6260082391416,66.37794310872752,0.8445611730568077,0.189
LightGBM,revenue_per_worker,164.9146557097675,99.7228494287048,0.6482364676849867,0.132
XGBoost,jobs_displaced,0.000885009765625,0.000885009765625,1.0,0.098
LightGBM,jobs_displaced,0.0008208441892065822,0.0008208441892065821,0.9999999994942502,0.051
