feature,importance
cap_labor_ratio,375
invest,175
matcost,168
plant,148
non_prod_workers,108
equip,82
prode,78
prodh,72
emp,57
cap,48
pay,48
prodw,40
robots_adopted,0
robotics_productivity_gain,0
robotics_cost_savings,0
