naics,year,cap,plant,equip,invest,cap_labor_ratio,emp,prode,non_prod_workers,pay,prodh,prodw,matcost
311314,2026,3503.1,1091.9,2411.2,163.2,500.4428571428571,7.0,5.4,1.5999999999999996,436.0,11.4,317.0,4142.4
311314,2027,3503.1,1091.9,2411.2,163.2,500.4428571428571,7.0,5.4,1.5999999999999996,436.0,11.4,317.0,4142.4
311340,2024,3673.3,938.5,2734.9,195.8,184.58793969849248,19.9,14.4,5.499999999999998,996.6,28.7,606.3,4002.6
311340,2025,3673.3,938.5,2734.9,195.8,184.58793969849248,19.9,14.4,5.499999999999998,996.6,28.7,606.3,4002.6
311340,2026,3673.3,938.5,2734.9,195.8,184.58793969849248,19.9,14.4,5.499999999999998,996.6,28.7,606.3,4002.6
311340,2027,3673.3,938.5,2734.9,195.8,184.58793969849248,19.9,14.4,5.499999999999998,996.6,28.7,606.3,4002.6
311351,2024,2071.9,673.4,1398.5,63.3,328.8730158730159,6.3,4.7,1.5999999999999996,385.0,9.7,231.8,3397.7
311351,2025,2071.9,673.4,1398.5,63.3,328.8730158730159,6.3,4.7,1.5999999999999996,385.0,9.7,231.8,3397.7
311351,2026,2071.9,673.4,1398.5,63.3,328.8730158730159,6.3,4.7,1.5999999999999996,385.0,9.7,231.8,3397.7
311351,2027,2071.9,673.4,1398.5,63.3,328.8730158730159,6.3,4.7,1.5999999999999996,385.0,9.7,231.8,3397.7
311352,2024,4254.9,1181.9,3072.9,230.8,124.77712609970673,34.1,23.8,10.3,1402.9,44.3,947.9,5815.5
311352,2025,4254.9,1181.9,3072.9,230.8,124.77712609970673,34.1,23.8,10.3,1402.9,44.3,947.9,5815.5
311352,2026,4254.9,1181.9,3072.9,230.8,124.77712609970673,34.1,23.8,10.3,1402.9,44.3,947.9,5815.5
311352,2027,4254.9,1181.9,3072.9,230.8,124.77712609970673,34.1,23.8,10.3,1402.9,44.3,947.9,5815.5
311411,2024,6391.7,2143.1,4248.6,399.4,193.1027190332326,33.1,28.5,4.600000000000001,1247.5,58.2,959.4,6665.8
311411,2025,6391.7,2143.1,4248.6,399.4,193.1027190332326,33.1,28.5,4.600000000000001,1247.5,58.2,959.4,6665.8
311411,2026,6391.7,2143.1,4248.6,399.4,193.1027190332326,33.1,28.5,4.600000000000001,1247.5,58.2,959.4,6665.8
311411,2027,6391.7,2143.1,4248.6,399.4,193.1027190332326,33.1,28.5,4.600000000000001,1247.5,58.2,959.4,6665.8
311412,2024,7745.0,2270.3,5474.7,476.0,145.3095684803002,53.3,44.1,9.199999999999996,2300.5,90.4,1649.0,11052.0
311412,2025,7745.0,2270.3,5474.7,476.0,145.3095684803002,53.3,44.1,9.199999999999996,2300.5,90.4,1649.0,11052.0
311412,2026,7745.0,2270.3,5474.7,476.0,145.3095684803002,53.3,44.1,9.199999999999996,2300.5,90.4,1649.0,11052.0
311412,2027,7745.0,2270.3,5474.7,476.0,145.3095684803002,53.3,44.1,9.199999999999996,2300.5,90.4,1649.0,11052.0
311421,2024,12122.7,3953.4,8169.3,551.5,244.9030303030303,49.5,41.0,8.5,2408.0,84.0,1767.2,13807.7
311421,2025,12122.7,3953.4,8169.3,551.5,244.9030303030303,49.5,41.0,8.5,2408.0,84.0,1767.2,13807.7
311421,2026,12122.7,3953.4,8169.3,551.5,244.9030303030303,49.5,41.0,8.5,2408.0,84.0,1767.2,13807.7
311421,2027,12122.7,3953.4,8169.3,551.5,244.9030303030303,49.5,41.0,8.5,2408.0,84.0,1767.2,13807.7
311422,2024,4608.0,1595.7,3012.3,151.8,418.90909090909093,11.0,9.1,1.9000000000000004,597.0,18.8,447.8,3395.1
311422,2025,4608.0,1595.7,3012.3,151.8,418.90909090909093,11.0,9.1,1.9000000000000004,597.0,18.8,447.8,3395.1
311422,2026,4608.0,1595.7,3012.3,151.8,418.90909090909093,11.0,9.1,1.9000000000000004,597.0,18.8,447.8,3395.1
311422,2027,4608.0,1595.7,3012.3,151.8,418.90909090909093,11.0,9.1,1.9000000000000004,597.0,18.8,447.8,3395.1
311423,2024,2870.1,932.1,1938.1,128.9,209.49635036496352,13.7,10.7,3.0,664.0,20.9,421.5,3438.5
311423,2025,2870.1,932.1,1938.1,128.9,209.49635036496352,13.7,10.7,3.0,664.0,20.9,421.5,3438.5
