feature,importance
cap_labor_ratio,0.32680592
matcost,0.22105846
emp,0.14865403
non_prod_workers,0.07044169
invest,0.049177356
prode,0.039629698
cap,0.03909303
plant,0.036952827
prodh,0.03475452
prodw,0.0118521545
equip,0.0098829465
pay,0.006715283
robots_adopted,0.004656045
robotics_productivity_gain,0.0003261181
robotics_cost_savings,0.0
