naics,naics_title,match_level,short_title,short_label,full_label
311942,Spice and Extract Manufacturing,exact,Spice & Extract Mfg,311942 | Spice & Extract Mfg,311942 - Spice and Extract Manufacturing
311991,Perishable Prepared Food Manufacturing,exact,Perishable Prepared Food Mfg,311991 | Perishable Prepared Food Mfg,311991 - Perishable Prepared Food Manufacturing
311999,All Other Miscellaneous Food Manufacturing,exact,All Other Misc Food Mfg,311999 | All Other Misc Food Mfg,311999 - All Other Miscellaneous Food Manufacturing
312111,Soft Drink Manufacturing,exact,Soft Drink Mfg,312111 | Soft Drink Mfg,312111 - Soft Drink Manufacturing
312112,Bottled Water Manufacturing,exact,Bottled Water Mfg,312112 | Bottled Water Mfg,312112 - Bottled Water Manufacturing
312113,Ice Manufacturing,exact,Ice Mfg,312113 | Ice Mfg,312113 - Ice Manufacturing
312120,Breweries,exact,Breweries,312120 | Breweries,312120 - Breweries
312130,Wineries,exact,Wineries,312130 | Wineries,312130 - Wineries
312140,Distilleries,exact,Distilleries,312140 | Distilleries,312140 - Distilleries
312230,Tobacco Manufacturing,exact,Tobacco Mfg,312230 | Tobacco Mfg,312230 - Tobacco Manufacturing
313110,"Fiber, Yarn, and Thread Mills",exact,"Fiber, Yarn, & Thread Mills","313110 | Fiber, Yarn, & Thread Mills","313110 - Fiber, Yarn, and Thread Mills"
313210,Broadwoven Fabric Mills,exact,Broadwoven Fabric Mills,313210 | Broadwoven Fabric Mills,313210 - Broadwoven Fabric Mills
313220,Narrow Fabric Mills and Schiffli Machine Embroidery,exact,Narrow Fabric Mills & Schiffli Machin...,313220 | Narrow Fabric Mills & Schiffli Machin...,313220 - Narrow Fabric Mills and Schiffli Machine Embroidery
313230,Nonwoven Fabric Mills,exact,Nonwoven Fabric Mills,313230 | Nonwoven Fabric Mills,313230 - Nonwoven Fabric Mills
313240,Knit Fabric Mills,exact,Knit Fabric Mills,313240 | Knit Fabric Mills,313240 - Knit Fabric Mills
313310,Textile and Fabric Finishing Mills,exact,Text & Fabric Finishing Mills,313310 | Text & Fabric Finishing Mills,313310 - Textile and Fabric Finishing Mills
313320,Fabric Coating Mills,exact,Fabric Coating Mills,313320 | Fabric Coating Mills,313320 - Fabric Coating Mills
314110,Carpet and Rug Mills,exact,Carpet & Rug Mills,314110 | Carpet & Rug Mills,314110 - Carpet and Rug Mills
314120,Curtain and Linen Mills,exact,Curtain & Linen Mills,314120 | Curtain & Linen Mills,314120 - Curtain and Linen Mills
314910,Textile Bag and Canvas Mills,exact,Text Bag & Canvas Mills,314910 | Text Bag & Canvas Mills,314910 - Textile Bag and Canvas Mills
314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills",exact,"Rope, Cordage, Twine, Tire Cord, & Ti...","314994 | Rope, Cordage, Twine, Tire Cord, & Ti...","314994 - Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills"
314999,All Other Miscellaneous Textile Product Mills,exact,All Other Misc Text Prod Mills,314999 | All Other Misc Text Prod Mills,314999 - All Other Miscellaneous Textile Product Mills
315110,Apparel Knitting MillsT,prefix_4_digit,App Knitting MillsT,315110 | App Knitting MillsT,315110 - Apparel Knitting MillsT
315190,Apparel Knitting MillsT,prefix_4_digit,App Knitting MillsT,315190 | App Knitting MillsT,315190 - Apparel Knitting MillsT
315210,Cut and Sew Apparel Contractors,exact,Cut & Sew App Contractors,315210 | Cut & Sew App Contractors,315210 - Cut and Sew Apparel Contractors
315220,Cut and Sew Apparel ManufacturingT,prefix_4_digit,Cut & Sew App MfgT,315220 | Cut & Sew App MfgT,315220 - Cut and Sew Apparel ManufacturingT
315240,Cut and Sew Apparel ManufacturingT,prefix_4_digit,Cut & Sew App MfgT,315240 | Cut & Sew App MfgT,315240 - Cut and Sew Apparel ManufacturingT
315280,Cut and Sew Apparel ManufacturingT,prefix_4_digit,Cut & Sew App MfgT,315280 | Cut & Sew App MfgT,315280 - Cut and Sew Apparel ManufacturingT
315990,Apparel Accessories and Other Apparel Manufacturing,exact,App Accessories & Other App Mfg,315990 | App Accessories & Other App Mfg,315990 - Apparel Accessories and Other Apparel Manufacturing
316110,Leather and Hide Tanning and Finishing,exact,Leather & Hide Tanning & Finishing,316110 | Leather & Hide Tanning & Finishing,316110 - Leather and Hide Tanning and Finishing
316210,Footwear Manufacturing,exact,Footwear Mfg,316210 | Footwear Mfg,316210 - Footwear Manufacturing
316992,Other Leather and Allied Product ManufacturingT,prefix_5_digit,Other Leather & Allied Prod MfgT,316992 | Other Leather & Allied Prod MfgT,316992 - Other Leather and Allied Product ManufacturingT
316998,Other Leather and Allied Product ManufacturingT,prefix_5_digit,Other Leather & Allied Prod MfgT,316998 | Other Leather & Allied Prod MfgT,316998 - Other Leather and Allied Product ManufacturingT
321113,Sawmills,exact,Sawmills,321113 | Sawmills,321113 - Sawmills
321114,Wood Preservation,exact,Wood Preservation,321114 | Wood Preservation,321114 - Wood Preservation
