year,gdp_per_capita,inflation,real_gdp
2024,98278.59428749999,2.264997825768729,25163.195090416586
2025,99134.32836250002,2.2558988257687287,25302.47664458325
2026,100011.63143750002,2.239406605530634,25388.697600833242
2027,100832.0834625001,2.237616605530634,25535.380646666566
