naics,naics_title,short_title,short_label,full_label,match_level,avg_baseline_productivity,avg_scenario_productivity,avg_baseline_revenue,avg_scenario_revenue,prod_change,prod_pct_change,revenue_change,revenue_pct_change
311615,Poultry Processing,Poultry Proc,311615 | Poultry Proc,311615 - Poultry Processing,exact,108.66168,108.66168,282.5481,282.5481,0.0,0.0,0.0,0.0
311710,Seafood Product Preparation and Packaging,Seafood Prod Prep & Pkg,311710 | Seafood Prod Prep & Pkg,311710 - Seafood Product Preparation and Packaging,exact,187.06871,187.06871,459.45798,459.45798,0.0,0.0,0.0,0.0
311811,Retail Bakeries,Retail Bakeries,311811 | Retail Bakeries,311811 - Retail Bakeries,exact,66.57043,66.57043,82.02461,82.02461,0.0,0.0,0.0,0.0
311812,Commercial Bakeries,Commercial Bakeries,311812 | Commercial Bakeries,311812 - Commercial Bakeries,exact,217.38417,217.38417,336.64294,336.64294,0.0,0.0,0.0,0.0
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing","Frozen Cakes, Pies, & Other Pastries Mfg","311813 | Frozen Cakes, Pies, & Other Pastries Mfg","311813 - Frozen Cakes, Pies, and Other Pastries Manufacturing",exact,132.37646,132.37646,270.04834,270.04834,0.0,0.0,0.0,0.0
311821,Cookie and Cracker Manufacturing,Cookie & Cracker Mfg,311821 | Cookie & Cracker Mfg,311821 - Cookie and Cracker Manufacturing,exact,186.80798,186.80798,345.17578,345.17578,0.0,0.0,0.0,0.0
311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour","Dry Pasta, Dough, & Flour Mixes Mfg f...","311824 | Dry Pasta, Dough, & Flour Mixes Mfg f...","311824 - Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",exact,194.53078,194.53078,543.2049,543.2049,0.0,0.0,0.0,0.0
311830,Tortilla Manufacturing,Tortilla Mfg,311830 | Tortilla Mfg,311830 - Tortilla Manufacturing,exact,134.27751,134.27751,239.31258,239.31258,0.0,0.0,0.0,0.0
311911,Roasted Nuts and Peanut Butter Manufacturing,Roasted Nuts & Peanut Butter Mfg,311911 | Roasted Nuts & Peanut Butter Mfg,311911 - Roasted Nuts and Peanut Butter Manufacturing,exact,185.63567,185.63567,708.9958,708.9958,0.0,0.0,0.0,0.0
311919,Other Snack Food Manufacturing,Other Snack Food Mfg,311919 | Other Snack Food Mfg,311919 - Other Snack Food Manufacturing,exact,358.40997,358.40997,538.0187,538.0187,0.0,0.0,0.0,0.0
