feature,importance
cap_labor_ratio,0.21935031
cap,0.1572596
matcost,0.122140594
non_prod_workers,0.083687805
invest,0.078950845
plant,0.07844267
emp,0.073744334
prodh,0.06453699
prode,0.03874519
equip,0.035323054
prodw,0.025314968
pay,0.019169077
robots_adopted,0.0023494652
robotics_productivity_gain,0.0009851314
robotics_cost_savings,0.0
